B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,LocationX
-81,-79,-65,-91,-83,,-93,,-82,-89,-80,-96,,,-88,,-86,-78,-91,2
-89,-86,,-86,-95,-91,-86,-72,,-93,-75,,,,-74,,-78,,-81,3
-91,,,,-94,-88,,-82,-87,-94,,,-96,-96,-76,,-89,,,2
-81,-72,-84,,-87,-75,-79,,-86,-86,,,-81,-86,,-79,-77,,,2
-85,,-89,-75,,,-76,-71,-86,-84,-73,-93,-84,-90,-84,-79,-84,,,2
,,-97,-90,,,,,-100,-103,-92,-92,,,-94,,-99,-99,-97,0
-84,-78,-65,-87,-84,,-90,,-80,-85,-80,-90,,,-93,,-85,-84,-90,2
-81,,-82,-83,-88,-82,,-81,-78,-80,,,-92,-99,-93,-86,-91,,,3
-95,-89,-80,-89,-78,,,,-92,-88,-93,,-89,-104,-88,-80,-90,-91,,0
-80,-72,-82,,-85,-73,-81,,-90,-88,,,-83,-86,,-81,-76,,,2
-86,-76,-85,-76,-84,,,,-86,-77,-80,-88,-94,-90,-78,-76,-78,,,1
,-94,,-99,-96,-96,-88,,,-94,-90,,,,,-94,-103,,,0
-87,-76,-86,,-85,-78,-77,-82,,-82,-80,,-94,,-81,,-79,-88,,1
-94,,,,-96,-90,,-81,-88,-94,,,-97,-94,-79,,-82,,,2
,-88,,-86,-95,,,-78,-94,-91,-83,-95,-94,,-84,-95,-84,-94,-80,1
-85,-75,-84,-76,-84,,,,-87,-78,-80,-89,-94,-90,-78,-77,-78,,,1
,-90,,-84,-80,-93,,-88,-98,-81,-86,,-94,,-88,-85,,-92,,0
,-92,-80,-88,,-85,-89,,-99,-89,-96,-93,,,-92,-92,,,,0
,-94,-95,-91,,-84,-90,,-99,-88,-95,-90,,,-88,-93,,,,0
-90,-86,,-90,,-86,,-87,-93,-87,,-89,-88,-96,-77,,-88,-87,,3
-94,-90,-97,-88,-90,-88,-84,,-96,-89,-92,-90,-96,,-94,-90,-98,,,0
,-86,,-79,-93,,,-77,-95,-86,-87,-94,-96,,-82,-92,-100,-91,-80,1
,-83,,-72,-89,-73,,-81,-87,-79,-79,,-88,,-86,,-87,-84,-81,1
-87,,-92,-75,,,-76,-71,-83,-85,-75,-96,-82,-89,-82,-78,-84,,,2
-90,-75,-95,,-89,,-91,-73,-90,-84,-71,,-88,-87,,-76,-83,-84,,2
,-80,,-78,-92,-74,,-78,-87,-80,-73,,-87,,-82,,,-83,-82,1
-88,,-89,-77,,,-76,-71,-91,-86,-72,-94,-81,-90,-84,-80,-84,,,2
-101,-90,-80,-90,-76,,,,-90,-87,-93,,-87,-100,-88,-81,-93,-89,,0
-82,,-82,-85,-87,-82,,-83,-77,-79,,,-95,-98,-94,-85,-87,,,3
,,,,,,,,,,,,,,,,,-90,,3
,-79,,-77,-90,-73,,-81,-84,-79,-74,,-87,,-81,,,-83,-82,1
-90,,-85,-84,-84,-81,,-81,-80,-77,,,-93,-95,-89,-87,-79,,,3
-79,,-80,-86,-82,-81,-83,-85,-76,-85,,,-92,-98,-93,-84,-85,,,3
,-89,,-83,-95,,,-78,-87,-91,-83,-98,-95,,-83,-90,-101,-98,-78,1
-93,,,,-97,-87,,-82,-88,-94,,,-96,-94,-77,,-81,,,2
,-85,,-94,-83,-89,,-84,-97,-87,-84,,-95,,-87,-88,,-91,,0
-93,-86,,-88,,-88,,-86,-84,-84,,-90,-87,-94,-79,,-86,-87,,3
-85,-84,,-86,-90,-88,-85,-80,,-91,-80,,,,-70,,-75,,-80,3
,-90,,-86,-84,-89,,-93,-96,-83,-88,,-92,,-90,-93,,-92,,0
-93,,,,-95,-90,,-83,-91,-92,,,-97,-95,-82,,-81,,,2
,-97,-97,-90,,,-81,,-98,-89,-93,-101,,,-99,-94,-100,-101,-101,0
-96,-89,-101,-90,-90,-91,-84,,-99,-89,-91,-94,-103,,,-91,,-93,,0
,-91,-96,-88,,-85,-89,,-99,-86,-95,-92,,,-92,,,,,0
,-94,,-76,-94,,,-79,-91,-92,-86,-94,,,-81,-87,-85,-89,,1
-90,-105,,-87,-76,-86,,,-90,-92,-87,,-89,-99,-95,-81,-93,-97,,0
-89,-85,,-87,-94,-82,-79,,,-90,-74,-95,-85,,-70,-78,-90,,-76,3
-85,-75,-85,-76,-85,,,,-86,-78,-80,-90,-94,-90,-78,-76,-78,,,1
-89,,-85,-70,,,-77,-82,-83,-82,-80,,-90,-91,-82,-79,-80,,-79,1
-97,-88,-79,-95,-77,,,,-90,-87,-93,,-88,-93,-87,-81,-85,-91,,0
,-89,,-86,,-84,-86,,,-87,-83,,,,,,,,-79,3
-79,,-78,-80,-82,-76,-83,-81,-76,-89,,,-101,-96,-93,-82,-84,,,3
-87,-77,-86,,-85,-78,-77,-85,,-82,-83,,-94,,-81,,-80,-90,,1
,-87,,-85,-82,-90,,-87,-94,-80,-84,,-90,,-90,-84,,-97,,0
-89,-84,,-88,-96,-81,-79,,,-88,-73,-93,-83,,-70,-78,-90,,-76,3
-87,,-75,-91,-79,-88,,,-89,-88,,-77,-90,-92,-89,-79,-89,-91,,1
-84,-72,-89,,-93,,-88,-74,-85,-88,-70,,-84,-88,,-80,-82,-88,,2
,-91,,-86,-84,-90,,-88,-94,-85,-88,,-93,,-89,-91,,-92,,0
,-80,,-81,-91,,,-76,-85,,-84,,,,-83,-81,-83,-85,-81,1
-84,-72,-89,,-91,,-88,-74,-84,-88,-70,,-84,-87,,-80,-83,-87,,2
-90,-84,,-86,-93,-88,-85,-74,,-93,-79,,,,-73,,-74,,-82,3
-91,-89,-84,-88,-78,,,,-91,-88,-95,,-89,-103,-89,-87,-90,-85,,0
-89,,-71,,,,,,,,,,,,,,-88,,,1
-84,-80,-65,-89,-84,,-93,,-79,-91,-89,-93,,,-95,,-84,-86,-92,2
,-88,,-81,-95,,,-78,-87,-91,-83,-93,-100,,-83,-93,-99,-94,-78,1
,-77,-84,-83,-88,,-87,,,-80,-83,-88,-91,-89,-77,-77,-77,,,1
,,,,,,,,,,,,,,,,,,,1
-85,-80,-66,-90,-82,,-90,,-76,-86,-88,-92,,,-95,,-84,-86,-90,2
,,,-80,-95,,,-78,-87,-90,-83,-92,-95,,-83,-97,-97,-94,-80,1
,-74,,-80,-88,-73,,-79,-92,-81,-77,,-84,,-81,,,-83,-81,1
,-75,,,,,-91,,,,-88,-82,,,,,,-89,-91,3
-96,-92,-81,-94,-82,,,,-90,-89,-90,,-90,-101,-85,-81,-91,-93,,0
,-77,,-77,-91,-73,,-79,-88,-81,-74,,-86,,-82,,,-83,-82,1
-79,-71,-82,,-85,-74,-79,,-88,-87,,,-83,-86,,-81,-76,,,2
-88,,-85,-71,,,-77,-82,-83,-82,-81,,-92,-91,-81,-80,-80,,-80,1
-84,-80,-67,-92,-85,,-92,,-78,-87,-83,-92,,,-92,,-85,-84,-87,2
-102,-101,-100,-91,-93,-91,-79,,-96,,-95,-94,-97,,-97,-95,-99,,,0
-87,-74,-93,,-93,,-83,-71,-88,-84,-73,,-86,-86,,-79,-83,-84,,2
,-81,,-77,-96,,,-81,-91,-85,-85,-95,,,-83,-89,-87,-87,,1
-84,,-91,-75,,,-77,-71,-82,-86,-73,-96,-86,-88,-82,-77,-82,,,2
-85,-79,-66,-89,-83,,-91,,-77,-86,-89,-92,,,-96,,-85,-84,-93,2
-90,-80,,-87,-94,-85,-82,,,-83,-70,-94,-80,,-72,-77,-95,,-76,3
,-92,-98,-89,,-85,-89,,-101,-88,-100,-93,,,-93,-89,,,,0
-84,,-85,-87,-84,-81,,-84,-78,-81,,,-89,-97,-94,-86,-87,,,3
-88,-86,,-92,-97,-83,-87,-83,,-93,-77,,,,-72,,-74,,-81,3
-88,,-91,-76,,,-76,-71,-85,-86,-73,-96,-81,-90,-83,-80,-83,,,2
-87,,-72,-91,-82,-90,,,-84,-87,,-78,-88,-91,-91,-78,-90,-87,,1
-95,,,,-95,-92,,-79,-86,-93,,,-96,-95,-79,,-82,,,2
-95,,,,-93,-89,,-80,-87,-93,,,-98,-95,-80,,-82,,,2
-94,-89,-94,-88,-90,-89,-87,,-104,-90,-95,-93,-98,,,-90,,-95,,0
,-90,,-87,-83,-90,,-89,-96,-80,-88,,-90,,-90,-101,,-92,,0
-84,,-93,,-86,-72,-79,,,-86,,,-83,-85,,-75,-76,,,2
-94,-94,-79,-84,-74,,,,-90,-88,-96,,-88,-98,-87,-81,-89,-91,,0
-92,-94,-79,-90,-74,,,,-91,-91,-89,,-88,-103,-87,-80,-88,-93,,0
-94,-94,-91,-85,-86,-91,-86,,-98,,-100,-85,-97,,-93,-87,-97,-90,,0
-92,-96,-81,-87,-72,,,,-87,-95,,,-86,,-97,-82,-86,-99,,0
-86,-76,-89,,-95,,-90,-76,-86,-89,-71,,-88,-87,,-77,-79,-86,,2
-84,-80,-66,-93,-82,,-92,,-82,-91,-79,-89,,,-90,,-85,-83,-93,2
-89,,-74,-90,-78,-81,,,-86,-88,,-77,-88,-95,-91,-79,-89,-89,,1
,-92,-100,-89,,-85,-86,,-96,-87,-95,-91,,,-93,-92,,,,0
-80,-71,-83,,-85,-74,-79,,-88,-87,,,-82,-86,,-79,-75,,,2
-86,,-93,-75,,,-76,-71,-82,-85,-75,-95,-83,-89,-80,-78,-83,,,2
-87,,-71,,,,,,,-87,,-78,,-88,-92,-80,-90,,,1
,,-97,-89,,,,,-100,-98,-93,-92,,,-96,,-98,-99,-97,0
-87,-74,-92,,-92,,-87,-72,-87,-84,-73,,-85,-86,,-80,-83,-83,,2
-93,-89,-79,-84,-77,,,,-89,-89,-89,,-85,-95,-88,-81,-92,-89,,0
-83,-72,-83,,-85,-74,-79,,-86,-86,,,-80,-86,,-78,-77,,,2
-80,,-82,-89,-84,-82,-82,-86,-75,-83,,,-96,-97,-93,-88,-86,,,3
-91,-76,-95,,-91,,-88,-72,-88,-83,-70,,-86,-87,,-79,-82,-84,,2
-96,-92,-98,-90,-91,-90,-80,,-99,,-92,-92,-100,,-97,-94,-99,,,0
-86,,-72,-91,-83,-81,,,-91,-91,,-81,-89,-90,-90,-83,-93,-85,,1
,-97,,,,,-81,,-99,-95,-101,-94,,,-99,-88,-96,,-88,0
,,,,,,,,,,,,,,,,,-91,,3
,-76,,-78,-91,-73,,-81,-91,-78,-76,,-86,,-81,,,-83,-82,1
-85,-72,-90,,-92,,-87,-73,-85,-86,-71,,-84,-87,,-81,-84,-85,,2
,-90,,-87,-80,-91,,-89,-98,-81,-86,,-102,,-93,-85,,-90,,0
-85,-79,-65,-90,-82,,-92,,-82,-91,-78,-87,,,-91,,-86,-83,-92,2
-88,-76,-86,,-85,-78,-77,-83,,-82,-82,,-93,,-81,,-79,-89,,1
-95,-89,-102,-88,-91,-88,-86,,-99,-88,-95,-92,-102,,,-92,,-95,,0
-83,-71,-84,,-86,-74,-80,,-87,-89,,,-82,-85,,-81,-76,,,2
-89,-79,,-90,-94,-87,-82,,,-86,-68,-93,-81,,-71,-79,-86,,-78,3
-98,,-91,-83,-88,-86,-84,,-95,,-92,-84,-87,,-95,,,,,0
-95,-87,,-90,,-86,,-86,-85,-85,,-91,-87,-95,-78,,-85,-87,,3
,-91,,-94,-81,-92,,-86,-100,-85,-84,,-95,,-86,-90,,-91,,0
,,,,,,,,,,,,,,,,,-87,,3
-87,,-93,-75,,,-76,-71,-83,-83,-75,-96,-82,-90,-81,-78,-85,,,2
-92,-72,,-83,-87,,-86,,-90,-80,-82,-91,-92,-89,-76,-77,-77,,,1
,-91,,-86,-85,-91,,-89,-90,-84,-88,,-91,,-89,-95,,-92,,0
-85,-72,-89,,-92,,-87,-73,-85,-87,-71,,-84,-87,,-80,-83,-86,,2
-86,-73,-90,,-95,,-85,-73,-87,-87,-73,,-85,-86,,-80,-81,-83,,2
-93,,,,-99,-92,,-84,-89,-94,,,-97,-95,-80,,-81,,,2
,-76,,-79,-90,-73,,-79,-95,-89,-75,,-86,,-83,,,-83,-82,1
,,,,,,,,,,,,,,,,,-86,,3
,-76,-70,,,,-86,,-69,-83,-84,-86,-93,,-93,-87,,-91,-92,3
-87,-75,-84,-77,-84,,,,-87,-77,-81,-87,-93,-89,-77,-76,-79,,,1
,,-99,-89,,,,,-99,-98,-93,-93,,,-99,,-96,-103,-101,0
,,,,,,,,,,,,,,,,,,,1
-86,-76,-85,-76,-85,,,,-87,-78,-79,-88,-93,-90,-78,-76,-78,,,1
-89,,-73,-90,-80,-84,,,-87,-87,,-78,-91,-95,-89,-80,-94,-88,,1
-91,-83,,-87,-93,-90,-86,-75,,-92,-75,,,,-74,,-77,,-80,3
,,,,,,,,,,,,,,,,,-88,,3
-85,-72,-90,,-92,,-87,-73,-85,-87,-71,,-84,-86,,-81,-83,-85,,2
,-75,-70,,,,-86,,-69,-87,-86,-83,-97,,-94,-86,,-94,-91,3
-87,,-72,-90,-83,-80,,,-91,-92,,-80,-91,-92,-90,-84,-92,-86,,1
-87,,-93,-76,,,-76,-71,-83,-84,-75,-95,-83,-90,-81,-78,-84,,,2
,-93,-97,-90,,-85,-90,,-100,-88,-94,-92,,,-92,-92,,,,0
-87,-83,,-90,-92,-88,-89,-80,,-89,-73,,,,-76,,-76,,-81,3
-85,-77,-86,,-84,-78,-75,-83,,-83,-82,,-94,,-81,,-79,-88,,1
-85,,-88,-66,,,-77,-83,-82,-81,-81,,-88,-94,-82,-76,-84,,-76,1
-89,,-85,-70,,,-77,-81,-83,-81,-81,,-91,-92,-82,-80,-81,,-80,1
-87,-77,-91,,-90,,-88,-72,-88,-88,-72,,-89,-89,,-78,-83,-85,,2
-91,,,,-98,-87,,-82,-87,-92,,,-97,-95,-75,,-92,,,2
-85,-82,-66,-90,-82,,-92,,-76,-89,-90,-93,,,-95,,-83,-84,-89,2
-79,,-81,-87,-84,-81,-83,-86,-75,-83,,,-96,-99,-94,-86,-84,,,3
-89,-85,,-89,-97,-81,-80,,,-88,-72,-94,-87,,-69,-78,-91,,-77,3
,,,-84,,-84,,,-97,-89,,-92,,,-95,,,,,0
,,,-93,-80,-82,,-85,-92,-84,,,,,-87,-96,,-91,,0
-87,,-71,-92,-79,-86,,,-86,-88,,-79,-95,-89,-90,-78,-90,-86,,1
,-78,,-76,-90,-72,,-79,-92,-88,-75,,-87,,-84,,,-83,-82,1
-94,-89,-99,-88,-89,-87,-84,,-95,-104,-92,-93,-96,,,-92,,-98,,0
-105,-90,-93,-92,,,-81,-92,,-101,,,,,,-95,-98,-98,-92,0
,,-100,-88,,,,,-98,-99,-93,-93,,,-95,,-105,-100,-99,0
,,,,,,,,,,,,,,,,,-88,,3
-87,-92,-95,-85,-97,-83,-80,-79,-85,-83,-71,-94,-81,-93,-69,-75,-86,-84,-76,3
-88,,-86,-70,,,-78,-84,-83,-82,-81,,-91,-92,-82,-79,-79,,-79,1
-96,-89,-79,-91,-76,,,,-89,-87,-93,,-90,-103,-89,-81,-89,-88,,0
,,-99,-88,,,,,-103,-94,-93,-92,,,-95,,-96,-98,-98,0
-90,,,,-95,-88,,-83,-86,-94,,,-95,-95,-77,,-90,,,2
,-83,,-72,-91,,,-75,-99,-100,-88,-93,,,-85,-87,-84,-94,-79,1
,-80,,-77,-93,-73,,-82,-82,-79,-78,,-86,,-81,,,-83,-80,1
-88,-84,,-86,-94,-88,-86,-73,,-93,-78,,,,-73,,-74,,-82,3
-87,-75,-87,,-85,-77,-76,-82,,-85,-82,,-92,,-83,,-81,-88,,1
,-78,,-78,-93,-74,,-78,-87,-80,-74,,-86,,-80,,,-83,-81,1
,-90,,-85,-83,-92,,-89,-95,-80,-86,,-92,,-92,-85,,-93,,0
-84,-77,-65,-87,-84,,-91,,-80,-84,-85,-92,,,-91,,-83,-83,-91,2
-89,-86,,-86,-95,-82,-80,,,-90,-73,-94,-86,,-69,-77,-90,,-76,3
,,,-80,-99,,,-80,-86,-90,-80,-93,-98,,-84,,-90,-93,-79,1
,-90,,-87,-84,-89,,-87,-96,-81,-85,,-96,,-93,-84,,-95,,0
-91,,,,-96,-87,,-82,-88,-93,,,-98,-96,-76,,-91,,,2
-93,-67,-91,,-88,-72,-79,,-90,-85,,,-83,-87,,-76,-77,,,2
-90,,,,-92,-92,,-80,-87,-92,,,-94,-97,-75,,-90,,,2
-93,-87,,-89,,-85,,-86,-85,-85,,-90,-87,-95,-75,,-85,-87,,3
-95,-90,-96,-95,-90,-90,,,-95,-90,-100,-93,-99,,-93,-97,-101,,,0
-89,-84,,-88,-97,-82,-80,,,-89,-74,-95,-87,,-69,-78,-91,,-76,3
,,,,,,,,,,,,,,,,,-90,,3
,-92,,-93,-96,-95,-87,,,-94,-86,,,,,-92,-95,,,0
,-93,-103,-84,,-86,-89,,-98,-88,-96,-93,,,-92,,,,,0
-89,-84,,-86,-95,-90,-85,-77,,-93,-77,,,,-73,,-77,,-80,3
-92,-75,-92,,-94,,-88,-73,-90,-84,-70,,-85,-88,,-80,-84,-84,,2
-94,-88,,-88,,-86,,-86,-86,-85,,-91,-87,-97,-76,,-84,-87,,3
-82,-72,-82,,-85,-73,-79,,-85,-87,,,-81,-85,,-79,-77,,,2
-92,-84,,-90,,-87,,-85,-83,-84,,-89,-88,-93,-78,,-85,-87,,3
-89,,-84,-70,,,-77,-81,-83,-81,-80,,-90,-92,-82,-80,-82,,-79,1
-88,-80,-97,,-98,-87,,-80,-84,,,,-80,-93,-71,-75,-86,-85,-75,3
-93,,,,-97,-92,,-82,-90,-92,,,-97,-95,-81,,-80,,,2
,-76,,,,,-86,,,,-87,-79,,,,,,-86,-97,3
,-93,-95,-88,,-86,-89,,-99,-86,-95,-91,,,-92,-92,,,,0
-91,-70,-91,,-88,-72,-80,,-88,-87,,,-82,-86,,-76,-76,,,2
-98,-88,-85,-87,-74,-82,,,-94,-91,-93,,-91,-100,-92,-83,-92,-90,,0
-80,,-81,-87,-84,-81,-83,-87,-76,-83,,,-95,-99,-94,-86,-84,,,3
,-93,-93,-90,,-85,-90,,-97,-88,-96,-93,,,-93,-92,,,,0
-84,-81,-66,-89,-82,,-93,,-81,-90,-81,-86,,,-90,,-87,-83,-94,2
-87,-75,-84,-77,-85,,,,-89,-78,-80,-88,-94,-89,-78,-77,-78,,,1
-94,-87,,-88,,-85,,-85,-86,-85,,-91,-87,-96,-78,,-86,-87,,3
-103,-90,-95,-92,-98,-99,-92,,-98,-87,-95,,,,,-90,-93,-100,-94,0
-89,-85,,-86,-94,-88,-84,-81,,-92,-80,,,,-73,,-75,,-83,3
-85,-77,-66,-88,-84,,-89,,-78,-83,-86,-92,,,-93,,-86,-84,-94,2
-88,,-89,-76,,,-75,-70,-89,-86,-72,-95,-81,-89,-83,-82,-83,,,2
-84,-78,-66,-91,-82,,-90,,-82,-90,-82,-91,,,-91,,-86,-83,-95,2
,-87,,-89,,-97,-83,,,-93,-92,-89,,,,-98,-100,,,0
-80,-71,-83,,-84,-73,-79,,-88,-86,,,-82,-86,,-78,-75,,,2
,,-97,-90,,,,,-95,-94,-98,-94,,,-95,,-99,-100,-99,0
,-85,,-90,-83,-90,,-87,-96,-84,-86,,-86,,-78,-93,,-91,,0
,-77,,-83,-88,,-86,,-92,-80,-84,-88,-92,-89,-77,-77,-77,,,1
-80,-71,-82,,-84,-74,-80,,-88,-86,,,-82,-86,,-78,-76,,,2
-87,,-73,-89,-78,-81,,,-87,-86,,-76,-87,-93,-90,-78,-89,-88,,1
,-80,,-81,-91,,,-76,-84,,-84,,,,-85,-88,-86,-97,-81,1
,-76,,-78,-89,-74,,-79,-91,-82,-74,,-89,,-82,,,-80,-84,1
-89,-83,,-86,-94,-88,-87,-75,,-94,-78,,,,-73,,-74,,-81,3
-90,-85,,-88,-95,-83,-80,,,-91,-74,-94,-86,,-69,-78,-90,,-75,3
,,,,,,,,,,,,,,,,,,,1
-88,-82,-96,,-97,-86,,-82,-84,,,,-81,-92,-70,-75,-85,-85,-75,3
,-75,,-78,-90,-73,,-80,-91,-78,-76,,-87,,-83,,-82,-84,-82,1
,,,,,,,,,,,,,,,,,,,1
-90,-74,-84,-70,-80,-78,-76,-81,-84,-81,-77,,-90,-92,-78,-79,-78,-81,-79,1
-95,-86,,-87,,-87,,-87,-87,-85,,-90,-87,-96,-80,,-87,-87,,3
,-78,,-78,-89,-73,,-79,-91,-89,-74,,-86,,-84,,,-82,-82,1
,,,,,,,,,,,,,,,,,,,1
-94,-92,-80,-90,-74,,,,-90,-87,-93,,-89,-101,-85,-80,-87,-91,,0
,-79,,-73,-93,,,-85,-83,-81,-82,-91,,,-83,-87,-82,-87,,1
,-82,,-75,-95,,,-82,-89,-86,-95,-92,,,-84,-87,-86,-87,,1
-81,-71,-84,,-86,-74,-78,,-89,-88,,,-84,-86,,-80,-76,,,2
-85,-75,-85,-76,-84,,,,-85,-77,-80,-89,-93,-89,-78,-76,-78,,,1
-85,-75,-85,-76,-84,,,,-89,-78,-79,-90,-94,-90,-78,-76,-78,,,1
,-91,,-90,-81,-92,,-85,-101,-92,-85,,-88,,-87,-89,,-91,,0
,-98,-86,-89,,-86,-87,,-101,-86,-86,-93,,,-91,-92,,,,0
-88,-85,,-87,-94,-87,-86,-74,,-92,-79,,,,-74,,-73,,-82,3
,-78,,-76,-90,-73,,-78,-93,-89,-75,,-86,,-85,,,-82,-82,1
-81,,-81,-85,-88,-80,-79,-81,-78,-84,,,-93,-102,-91,-86,-90,,,3
-92,,,-81,-88,-90,,,,,-95,-87,-95,,-94,,,,,0
,-82,,-76,-93,,,-78,-90,-94,-89,-106,,,-88,-89,,-89,,1
,-75,-71,,,,-88,,-70,-86,-85,-84,-93,,-94,-88,,-94,-93,3
-93,-88,-99,-83,-88,-93,-82,,-90,-85,-96,-85,-94,,,-95,,-99,,0
-95,-95,-91,,,,-84,,-96,-93,-96,-96,,,-96,-98,-96,-98,-91,0
,,-98,-90,,,,,-99,-99,-92,-93,,,-103,,-101,-99,-96,0
-88,,-94,-76,,,-76,-72,-85,-88,-75,-95,-81,-90,-82,-80,-83,,,2
-95,,,,-95,-90,,-79,-86,-92,,,-99,-96,-80,,-83,,,2
-80,,-81,-86,-84,-82,-80,-86,-76,-83,,,-92,-98,-93,-83,-85,,,3
-81,-71,-84,,-87,-74,-81,,-88,-87,,,-83,-86,,-81,-76,,,2
-87,,-90,-75,,,-76,-71,-91,-85,-72,-94,-85,-92,-84,-81,-82,,,2
-88,,-86,-70,,,-77,-84,-83,-83,-80,,-92,-91,-82,-79,-79,,-79,1
,-94,-96,-87,,-73,-89,,-99,-92,-95,-93,,,-86,-92,,,,0
,-93,-96,-90,,-87,-89,,-100,-89,-96,-92,,,-89,-91,,,,0
-84,-77,-65,-87,-84,,-92,,-82,-86,-82,-89,,,-95,,-84,-83,-91,2
-93,-90,-79,-87,-74,,,,-90,-89,-94,,-88,-101,-87,-82,-90,-90,,0
-89,-83,,-92,-94,-83,-87,-83,,-86,-83,,,,-75,,-73,,-82,3
,-97,-93,-82,,-84,-89,,-100,-90,-96,-95,,,-93,-92,,,,0
,-100,-105,-89,,-86,-89,,-97,-89,-96,-93,,,-93,-70,,,,0
,-76,-71,,,,-92,,-69,-82,-88,-83,,,-96,,,-90,-89,3
-85,,-92,-76,,,-76,-72,-87,-87,-73,-95,-85,-90,-81,-78,-82,,,2
-81,-71,-82,,-85,-73,-80,,-85,-86,,,-81,-86,,-78,-76,,,2
-92,-87,-99,-88,-89,-88,-85,,-100,-87,-96,-92,-99,,,-90,,-93,,0
-89,,-85,-70,,,-77,-82,-83,-81,-80,,-90,-92,-82,-80,-80,,-80,1
-90,,-92,,,,,-77,-81,,-68,,,-88,,-76,-83,-85,,2
-93,-84,,-89,,-85,,-85,-86,-85,,-90,-88,-95,-77,,-86,-87,,3
-89,-82,,-88,-94,-85,-82,,,-84,-70,-94,-81,,-73,-77,-91,,-75,3
-87,,-90,-76,,,-76,-71,-90,-85,-72,-93,-83,-90,-84,-80,-82,,,2
-87,,-84,-70,,,-76,-82,-84,-83,-81,,-90,-92,-83,-79,-82,,-79,1
-97,,-90,-84,-89,-89,-86,,-93,,-92,-87,-95,,-98,-90,-95,,,0
-86,-82,,-93,-91,-83,-92,-84,,-90,-76,,,,-72,,-71,,-84,3
-93,,,,-99,-92,,-81,-88,-94,,,-96,-94,-80,,-81,,,2
-86,-75,-85,-75,-85,,,,-89,-77,-81,-90,-93,-90,-78,-77,-79,,,1
-81,,-78,-85,-83,-81,-82,-83,-74,-83,,,-92,-96,-94,-86,-82,,,3
-79,,-82,-89,-84,-81,-81,-85,-77,-82,,,-93,-98,-93,-81,-86,,,3
-89,-81,-96,,-98,-86,,-81,-86,,,,-81,-93,-71,-75,-86,-87,-75,3
-94,-88,,-88,,-85,,-83,-87,-87,,-91,-89,-97,-75,,-81,-89,,3
-84,-78,-66,-88,-83,,-89,,-78,-86,-88,-92,,,-92,,-85,-84,-92,2
-81,,-81,-84,-88,-82,,-81,-78,-81,,,-93,-101,-93,-86,-90,,,3
-93,-85,,-91,,-87,,-84,-85,-85,,-90,-88,-94,-76,,-84,-87,,3
-93,-86,,-90,-90,-83,-82,,,-81,-68,-92,-77,,-70,-89,-89,,-74,3
,-75,,,,,-91,,,,-87,-82,,,,,,-88,-92,3
-91,-91,-81,-89,-76,,,,-89,-87,-99,,-90,-94,-86,-80,-87,-89,,0
,-91,,-86,-84,-90,,-89,-97,-82,-88,,-92,,-90,-92,,-94,,0
,-80,,-74,-91,-73,,-82,-85,-81,-80,,-83,,-79,,,-85,-80,1
-78,,-79,-82,-85,-78,-83,-82,-79,-84,,,-92,-94,-92,-81,-83,,,3
,-76,-87,-82,-88,,-88,,,,-87,-88,-92,-89,-77,-78,-78,,,1
,,,-77,-94,-81,,-80,-86,-96,-84,-93,-97,,-84,,-89,-98,-79,1
-93,,,,-97,-85,,-81,-88,-92,,,-97,-94,-76,,-91,,,2
-88,-78,-84,-75,-82,,,,-84,-76,-82,-88,-92,-88,-77,-76,-78,,,1
-87,-75,-92,,-93,,-87,-73,-85,-84,-71,,-85,-86,,-82,-81,-85,,2
-87,,-93,-76,,,-76,-72,-83,-83,-75,-96,-82,-90,-75,-78,-83,-88,,2
,,,,,,,,,,,,,,,,,-99,,3
-86,-75,-84,-75,-84,,-89,,-88,-78,-81,-90,-93,-90,-78,-78,-78,,,1
-101,-87,-97,-90,-92,-91,-81,,-99,,-93,-92,-97,,-96,-95,-100,,,0
-86,,-90,-74,,,-77,-70,-83,-79,-73,-91,-86,-88,-81,-76,-80,,,2
-89,-82,,-90,-93,-85,-88,-85,,-90,-73,,,,-75,,-75,,-79,3
-89,-85,,-89,-95,-81,-80,,,-89,-74,-94,-85,,-69,-78,-90,,-76,3
